name,category,price,quantity
Voltix Multi-Purpose Wood Glue (ml),Paint & Adhesives,43.14,55
Voltix Eco Dust Mask 25mm,Safety,45.28,175
ToolMight Stainless Extension Lead 25mm,Electrical,84.77,65
Voltix Compact Hinge 300mm,Hardware,77.82,60
MasterCraft Eco Dust Mask,Safety,45.01,39
AquaFlow Heavy-Duty Jigsaw,Power Tools,140.71,2
IronWorks Stainless Zip Ties Pack,Consumables,12.8,447
HardPro Premium Ear Protection,Safety,32.85,82
Voltix Precision Epoxy (ml),Paint & Adhesives,48.41,55
BrightBuild Eco Washer,Fasteners,11.27,166
SecureHold Multi-Purpose Bolt 25mm,Fasteners,6.96,59
MasterCraft Premium Zip Ties Pack,Consumables,19.94,211
SecureHold Premium Jigsaw,Power Tools,231.22,23
HardPro Compact Anchor 1/2inch,Fasteners,14.78,141
ToolMight Compact Sandpaper Pack,Consumables,9.39,330
IronWorks Premium Cabinet Knob,Hardware,44.02,42
SureGrip Stainless Door Handle 250mm,Hardware,86.05,64
SecureHold Premium Tape Measure,Tools,62.13,11
HardPro Heavy-Duty Tap Washer,Plumbing,7.58,68
MasterCraft Premium Adjustable Wrench,Tools,150.66,22
BrightBuild Premium Washer,Fasteners,4.95,73
Voltix Heavy-Duty Pipe (m),Plumbing,47.74,5
SecureHold Stainless Silicone Sealant (ml),Paint & Adhesives,4.7,70
MasterCraft Eco Chisel,Tools,15.44,35
SureGrip Galvanized Circular Saw,Power Tools,245.96,18
SureGrip Galvanized Sandpaper Pack,Consumables,3.01,360
BrightBuild Stainless Epoxy (ml),Paint & Adhesives,41.1,48
ProFix Compact Jigsaw 12mm,Power Tools,211.24,21
AquaFlow Heavy-Duty Zip Ties Pack 25mm,Consumables,1.53,130
SureGrip Eco Angle Grinder 25mm,Power Tools,282.61,16
ToolMight Premium Jigsaw 1/4inch,Power Tools,486.37,10
BrightBuild Galvanized Interior Paint (L),Paint & Adhesives,17.21,61
BrightBuild Precision Tape Measure,Tools,67.47,20
Voltix Multi-Purpose Jigsaw 25mm,Power Tools,119.32,6
MasterCraft Stainless Hose Connector 300mm,Plumbing,100.41,46
SecureHold Eco Hinge,Hardware,47.8,16
Voltix Quick-Fit Cable Clips Pack,Consumables,1.82,480
MasterCraft Quick-Fit Door Handle 1/2inch,Hardware,30.81,47
AquaFlow Multi-Purpose Handsaw 300mm,Tools,43.54,29
SecureHold Quick-Fit Hinge,Hardware,90.56,17
AquaFlow Quick-Fit Pruning Shears,Garden,90.76,49
HardPro Precision Hose Connector,Plumbing,107.39,53
AquaFlow Multi-Purpose Garden Fork,Garden,126.71,20
AquaFlow Stainless Ear Protection 20mm,Safety,6.06,192
SecureHold Stainless Hinge 1/2inch,Hardware,8.67,19
IronWorks Compact Interior Paint (L),Paint & Adhesives,8.59,57
Voltix Industrial Bolt,Fasteners,2.8,149
ToolMight Heavy-Duty Cabinet Knob,Hardware,32.57,64
SecureHold Stainless Work Gloves,Safety,21.79,175
ToolMight Industrial Pipe (m),Plumbing,37.78,71
MasterCraft Multi-Purpose Interior Paint (L),Paint & Adhesives,9.48,60
BrightBuild Precision Washer 10mm,Fasteners,1.4,143
SureGrip Precision Hinge,Hardware,49.51,68
SureGrip Quick-Fit Pruning Shears 25mm,Garden,33.52,54
BrightBuild Galvanized Cabinet Knob,Hardware,33.78,75
BrightBuild Eco Nails Pack,Consumables,17.45,368
BrightBuild Stainless Garden Fork,Garden,34.31,21
ToolMight Premium Handsaw 25mm,Tools,13.71,60
MasterCraft Heavy-Duty Anchor 20mm,Fasteners,11.61,68
SecureHold Eco Washer,Fasteners,3.49,169
ToolMight Eco Pliers 10mm,Tools,54.05,37
HardPro Compact Ear Protection 1/4inch,Safety,50.88,120
ToolMight Industrial Wire (m),Electrical,54.81,25
MasterCraft Multi-Purpose Socket Outlet,Electrical,65.4,87
SecureHold Industrial Hose Reel 300mm,Garden,63.46,40
ProFix Precision Epoxy (ml),Paint & Adhesives,16.61,34
Voltix Galvanized Bolt 32mm,Fasteners,7.43,172
SureGrip Industrial Garden Fork,Garden,115.01,22
IronWorks Eco Wood Glue (ml),Paint & Adhesives,23.99,21
ProFix Compact Interior Paint (L),Paint & Adhesives,16.6,34
AquaFlow Premium Bolt 1/4inch,Fasteners,6.22,123
ToolMight Heavy-Duty Hinge,Hardware,40.44,28
ProFix Heavy-Duty Wood Glue (ml),Paint & Adhesives,56.2,17
SecureHold Eco Cabinet Knob,Hardware,48.95,17
SecureHold Eco Socket Outlet,Electrical,42.97,69
SecureHold Multi-Purpose Silicone Sealant (ml),Paint & Adhesives,42.46,50
AquaFlow Eco Jigsaw,Power Tools,285.02,18
Voltix Quick-Fit Ball Valve 250mm,Plumbing,50.84,44
SureGrip Compact Screw,Fasteners,10.97,157
SureGrip Eco Lockset,Hardware,12.8,7
HardPro Quick-Fit Epoxy (ml),Paint & Adhesives,23.07,5
IronWorks Galvanized Pipe (m),Plumbing,72.46,42
Voltix Industrial Tap Washer,Plumbing,19.07,59
HardPro Heavy-Duty Hose Reel,Garden,123.6,54
ProFix Quick-Fit Ear Protection,Safety,7.25,182
Voltix Heavy-Duty Sandpaper Pack 300mm,Consumables,4.55,265
Voltix Premium Teflon Tape,Plumbing,53.11,45
BrightBuild Industrial Teflon Tape 20mm,Plumbing,60.09,48
HardPro Eco Epoxy (ml),Paint & Adhesives,39.26,9
SureGrip Stainless Bolt 16mm,Fasteners,0.54,185
AquaFlow Compact Interior Paint (L),Paint & Adhesives,13.58,53
BrightBuild Multi-Purpose Chisel,Tools,27.2,5
MasterCraft Eco Wire (m),Electrical,77.08,19
AquaFlow Precision Interior Paint (L),Paint & Adhesives,12.71,52
BrightBuild Multi-Purpose Garden Fork,Garden,100.88,23
ToolMight Eco Washer 250mm,Fasteners,17.06,89
BrightBuild Industrial Drill 25mm,Power Tools,252.21,12
ProFix Compact Circular Saw,Power Tools,150.65,15
SureGrip Compact Epoxy (ml),Paint & Adhesives,39.73,51
HardPro Industrial Lockset,Hardware,19.95,67
IronWorks Industrial Cable Clips Pack 1/4inch,Consumables,7.04,445
SureGrip Eco Adjustable Wrench,Tools,96.56,39
BrightBuild Quick-Fit Anchor,Fasteners,2.31,160
ProFix Galvanized Handsaw 250mm,Tools,83.89,10
SecureHold Industrial Handsaw 20mm,Tools,40.76,56
IronWorks Quick-Fit Switch,Electrical,40.31,64
ProFix Premium Impact Driver 12mm,Power Tools,290.49,14
MasterCraft Industrial Zip Ties Pack,Consumables,5.97,281
SureGrip Precision Impact Driver,Power Tools,106.39,13
HardPro Stainless Bolt,Fasteners,14.42,120
AquaFlow Compact Ball Valve,Plumbing,57.75,61
IronWorks Multi-Purpose Pruning Shears,Garden,17.67,50
BrightBuild Precision Cable Clips Pack 16mm,Consumables,19.27,283
SecureHold Multi-Purpose Hammer,Tools,19.29,31
HardPro Galvanized Drill,Power Tools,410.34,24
MasterCraft Quick-Fit Lockset 1/4inch,Hardware,10.07,85
ProFix Galvanized Safety Glasses,Safety,54.71,105
ProFix Multi-Purpose LED Bulb 20mm,Electrical,7.76,120
SecureHold Eco Drill 12mm,Power Tools,344.24,2
SecureHold Eco Zip Ties Pack,Consumables,13.19,181
IronWorks Compact LED Bulb 250mm,Electrical,24.59,92
IronWorks Eco Washer 1/2inch,Fasteners,9.13,170
ProFix Precision Screwdriver Set 20mm,Tools,13.84,22
ToolMight Galvanized Pliers,Tools,41.39,32
HardPro Precision Hammer 16mm,Tools,107.2,22
ProFix Industrial Tape Measure 12mm,Tools,151.93,48
IronWorks Quick-Fit Hammer 10mm,Tools,59.9,31
ToolMight Galvanized Cabinet Knob 10mm,Hardware,30.7,30
Voltix Compact Silicone Sealant (ml),Paint & Adhesives,40.71,47
BrightBuild Heavy-Duty Washer,Fasteners,14.34,183
BrightBuild Eco Drill,Power Tools,82.0,25
BrightBuild Eco Cabinet Knob 20mm,Hardware,26.96,20
SecureHold Compact Hammer 32mm,Tools,97.89,40
MasterCraft Eco Pipe (m),Plumbing,85.67,38
ProFix Galvanized Pliers,Tools,20.75,6
SureGrip Stainless Angle Grinder 16mm,Power Tools,223.5,15
AquaFlow Premium Tap Washer,Plumbing,47.9,40
HardPro Quick-Fit Nut,Fasteners,19.09,149
SecureHold Stainless Door Handle,Hardware,91.87,68
ToolMight Stainless Sprayer 10mm,Garden,111.96,4
Voltix Stainless Extension Lead,Electrical,38.02,72
SecureHold Quick-Fit Cabinet Knob 300mm,Hardware,2.42,28
BrightBuild Precision Nails Pack,Consumables,20.55,191
ProFix Compact Safety Glasses 12mm,Safety,26.99,132
IronWorks Stainless Cable Clips Pack 10mm,Consumables,3.19,334
ProFix Multi-Purpose Safety Glasses,Safety,29.93,110
AquaFlow Eco Nails Pack 10mm,Consumables,21.26,223
HardPro Compact Work Gloves,Safety,60.57,34
BrightBuild Quick-Fit Tape Measure,Tools,61.08,59
AquaFlow Precision Anchor,Fasteners,13.88,161
SecureHold Precision Hose Connector 12mm,Plumbing,70.13,24
Voltix Precision Circuit Breaker,Electrical,52.47,14
ToolMight Multi-Purpose Switch,Electrical,40.23,49
HardPro Galvanized Exterior Paint (L),Paint & Adhesives,22.4,69
ProFix Quick-Fit Door Handle 250mm,Hardware,67.88,30
BrightBuild Eco Silicone Sealant (ml),Paint & Adhesives,39.16,36
ToolMight Heavy-Duty Tape Measure 300mm,Tools,32.23,13
Voltix Heavy-Duty Switch 25mm,Electrical,25.99,10
BrightBuild Quick-Fit Hose Reel 12mm,Garden,25.87,6
SureGrip Industrial Nails Pack,Consumables,17.59,293
BrightBuild Quick-Fit Dust Mask,Safety,47.07,32
BrightBuild Premium Hose Connector,Plumbing,40.55,20
AquaFlow Compact Circular Saw 16mm,Power Tools,171.4,7
ProFix Heavy-Duty Lockset 16mm,Hardware,37.6,52
BrightBuild Quick-Fit Bolt 10mm,Fasteners,9.54,183
AquaFlow Industrial Cable Clips Pack,Consumables,16.77,395
Voltix Quick-Fit Bolt 10mm,Fasteners,6.37,81
ToolMight Eco Garden Fork 10mm,Garden,79.51,9
IronWorks Precision Safety Glasses,Safety,35.9,32
Voltix Eco Adjustable Wrench,Tools,17.54,59
BrightBuild Industrial Epoxy (ml),Paint & Adhesives,66.48,14
BrightBuild Stainless Hinge,Hardware,65.22,25
SureGrip Precision Chisel,Tools,23.43,31
ProFix Galvanized Dust Mask,Safety,61.02,120
HardPro Industrial Teflon Tape 250mm,Plumbing,85.53,40
AquaFlow Premium Anchor,Fasteners,5.72,155
AquaFlow Quick-Fit Screw,Fasteners,15.24,134
Voltix Precision Sprayer,Garden,61.4,60
HardPro Stainless LED Bulb,Electrical,14.39,91
MasterCraft Eco Cable Clips Pack,Consumables,21.65,316
SecureHold Galvanized Wire (m),Electrical,26.35,113
SecureHold Multi-Purpose Circuit Breaker,Electrical,57.7,96
SecureHold Quick-Fit Circuit Breaker,Electrical,36.72,113
AquaFlow Galvanized Screw,Fasteners,1.42,141
MasterCraft Precision Safety Glasses,Safety,24.63,151
ProFix Compact Bolt,Fasteners,15.75,125
SecureHold Galvanized Safety Glasses,Safety,2.02,92
ProFix Precision Zip Ties Pack,Consumables,12.24,133
BrightBuild Industrial Hose Connector 300mm,Plumbing,117.44,46
MasterCraft Multi-Purpose Angle Grinder,Power Tools,61.21,7
AquaFlow Heavy-Duty Pruning Shears 20mm,Garden,104.8,32
ProFix Galvanized Hinge 25mm,Hardware,56.2,84
Voltix Heavy-Duty Screwdriver Set,Tools,36.8,52
AquaFlow Compact Impact Driver 32mm,Power Tools,214.61,25
IronWorks Multi-Purpose Door Handle 20mm,Hardware,5.29,90
ToolMight Galvanized Pliers,Tools,43.17,42
Voltix Precision Socket Outlet,Electrical,28.06,67
ToolMight Eco Hinge 300mm,Hardware,64.76,79
SureGrip Precision Nails Pack,Consumables,8.26,281
SureGrip Industrial Hammer,Tools,119.06,35
ProFix Premium Lockset 25mm,Hardware,43.61,71
ToolMight Precision Silicone Sealant (ml),Paint & Adhesives,68.22,47
HardPro Precision Work Gloves,Safety,54.75,194
HardPro Eco Chisel 16mm,Tools,68.52,38
Voltix Precision Drill,Power Tools,237.64,7
AquaFlow Compact Nails Pack,Consumables,9.97,69
HardPro Precision Circuit Breaker 250mm,Electrical,40.47,15
SureGrip Premium Sprayer,Garden,31.47,59
SureGrip Compact Garden Fork 10mm,Garden,102.11,30
BrightBuild Precision Zip Ties Pack,Consumables,20.42,90
IronWorks Eco Adjustable Wrench 250mm,Tools,57.66,32
MasterCraft Compact Pliers,Tools,96.9,5
AquaFlow Compact Ball Valve 300mm,Plumbing,72.65,56
IronWorks Quick-Fit Sandpaper Pack,Consumables,6.92,314
ToolMight Stainless Washer,Fasteners,8.93,173
BrightBuild Eco Teflon Tape,Plumbing,39.88,38
ToolMight Galvanized Teflon Tape,Plumbing,48.31,30
IronWorks Compact Ball Valve 20mm,Plumbing,15.99,52
BrightBuild Eco Zip Ties Pack,Consumables,13.41,371
HardPro Galvanized LED Bulb,Electrical,72.12,53
SecureHold Eco Lockset 32mm,Hardware,66.56,30
SecureHold Eco Extension Lead 1/2inch,Electrical,47.35,37
HardPro Galvanized Epoxy (ml),Paint & Adhesives,55.98,25
BrightBuild Industrial Silicone Sealant (ml),Paint & Adhesives,22.53,54
MasterCraft Stainless Utility Knife 32mm,Tools,80.95,59
SecureHold Premium Nut,Fasteners,9.5,117
SecureHold Galvanized Cable Clips Pack 20mm,Consumables,15.36,498
AquaFlow Eco Exterior Paint (L),Paint & Adhesives,39.89,32
HardPro Compact Utility Knife,Tools,6.21,54
ToolMight Precision Impact Driver,Power Tools,312.78,18
ToolMight Compact Zip Ties Pack,Consumables,1.92,115
ToolMight Compact Adjustable Wrench,Tools,32.25,58
ProFix Compact Wire (m),Electrical,17.34,104
IronWorks Eco Screw,Fasteners,17.24,100
ProFix Premium Hinge 1/4inch,Hardware,2.75,16
SecureHold Eco Pipe (m),Plumbing,69.42,76
HardPro Premium Hinge,Hardware,28.6,40
AquaFlow Stainless Sandpaper Pack,Consumables,10.93,184
AquaFlow Multi-Purpose Pliers,Tools,88.04,17
HardPro Premium Screwdriver Set 1/4inch,Tools,84.78,10
ProFix Industrial Ear Protection,Safety,14.02,108
IronWorks Quick-Fit Ball Valve,Plumbing,84.32,75
AquaFlow Industrial Impact Driver,Power Tools,177.16,19
SureGrip Quick-Fit Hose Connector,Plumbing,4.84,45
ToolMight Quick-Fit Anchor,Fasteners,14.62,105
BrightBuild Eco Adjustable Wrench,Tools,87.3,57
SureGrip Galvanized Impact Driver,Power Tools,137.27,23
HardPro Precision Jigsaw,Power Tools,59.67,6
HardPro Quick-Fit Switch,Electrical,58.89,64
BrightBuild Premium Cabinet Knob 10mm,Hardware,44.07,15
ProFix Premium Adjustable Wrench,Tools,6.44,35
SecureHold Heavy-Duty Cable Clips Pack,Consumables,9.88,456
MasterCraft Heavy-Duty Cabinet Knob,Hardware,27.01,7
IronWorks Quick-Fit Nut 1/4inch,Fasteners,11.79,57
ToolMight Premium Garden Fork 1/4inch,Garden,29.45,24
AquaFlow Stainless Safety Glasses,Safety,31.74,154
BrightBuild Galvanized Circuit Breaker,Electrical,84.88,91
SecureHold Premium Interior Paint (L),Paint & Adhesives,46.52,20
Voltix Eco Hose Reel 1/4inch,Garden,111.06,7
HardPro Precision Wire (m),Electrical,80.79,78
ProFix Quick-Fit Pruning Shears,Garden,77.18,28
ToolMight Eco Exterior Paint (L),Paint & Adhesives,14.65,20
SureGrip Industrial Circular Saw 1/2inch,Power Tools,331.67,16
MasterCraft Quick-Fit Lockset,Hardware,13.35,11
ToolMight Compact Circular Saw 16mm,Power Tools,335.74,20
HardPro Multi-Purpose Ear Protection 300mm,Safety,4.5,157
ToolMight Industrial Sandpaper Pack 1/4inch,Consumables,8.09,413
BrightBuild Industrial Epoxy (ml),Paint & Adhesives,28.48,10
Voltix Quick-Fit Screwdriver Set,Tools,127.16,38
HardPro Stainless Safety Glasses,Safety,67.75,173
ProFix Premium Hose Connector 12mm,Plumbing,2.58,48
HardPro Heavy-Duty Safety Glasses,Safety,50.83,147
IronWorks Precision Nut,Fasteners,15.35,128
ProFix Compact Lockset 20mm,Hardware,36.63,69
IronWorks Industrial Wire (m),Electrical,67.23,101
MasterCraft Heavy-Duty Hose Reel,Garden,92.56,23
IronWorks Compact Hose Connector,Plumbing,15.63,41
IronWorks Stainless Sandpaper Pack 32mm,Consumables,26.02,373
Voltix Industrial Dust Mask 20mm,Safety,52.97,185
HardPro Premium Safety Glasses 300mm,Safety,32.98,53
BrightBuild Precision Silicone Sealant (ml),Paint & Adhesives,25.04,23
SureGrip Galvanized Dust Mask 300mm,Safety,40.72,162
BrightBuild Quick-Fit Work Gloves,Safety,38.6,158
SecureHold Stainless Washer,Fasteners,8.26,138
Voltix Heavy-Duty Tape Measure,Tools,12.98,42
BrightBuild Multi-Purpose Circular Saw,Power Tools,312.55,4
SecureHold Eco Washer,Fasteners,3.11,148
IronWorks Stainless Lockset,Hardware,37.96,66
SecureHold Quick-Fit Handsaw,Tools,94.07,26
ProFix Eco Sprayer,Garden,103.21,6
Voltix Stainless Work Gloves,Safety,16.26,199
Voltix Stainless Adjustable Wrench,Tools,31.74,58
SureGrip Multi-Purpose Safety Glasses,Safety,5.49,146
SureGrip Multi-Purpose Teflon Tape 250mm,Plumbing,55.11,60
ToolMight Industrial Zip Ties Pack 12mm,Consumables,25.0,25
MasterCraft Heavy-Duty Washer 12mm,Fasteners,12.0,81
MasterCraft Precision Adjustable Wrench,Tools,107.15,54
BrightBuild Compact Impact Driver,Power Tools,100.27,22
MasterCraft Stainless Ear Protection 12mm,Safety,71.09,180
ToolMight Stainless Angle Grinder,Power Tools,423.27,17
Voltix Quick-Fit Utility Knife 25mm,Tools,72.92,7
IronWorks Compact Circular Saw,Power Tools,89.42,19
HardPro Quick-Fit Epoxy (ml),Paint & Adhesives,56.67,22
IronWorks Galvanized Sandpaper Pack,Consumables,18.52,332
Voltix Galvanized Extension Lead 300mm,Electrical,59.3,117
ProFix Precision Ball Valve 12mm,Plumbing,35.87,25
HardPro Galvanized Screw 12mm,Fasteners,10.42,94
ProFix Precision Nails Pack,Consumables,20.07,296
IronWorks Eco Garden Fork 20mm,Garden,45.74,42
ProFix Galvanized Work Gloves,Safety,21.17,38
IronWorks Galvanized Door Handle,Hardware,61.52,29
ToolMight Premium Cabinet Knob 300mm,Hardware,31.3,26
AquaFlow Premium Sandpaper Pack,Consumables,10.71,494
SecureHold Precision Sandpaper Pack,Consumables,11.26,405
SureGrip Premium Bolt,Fasteners,3.65,153
BrightBuild Eco LED Bulb,Electrical,89.04,20
BrightBuild Heavy-Duty Zip Ties Pack,Consumables,23.79,78
Voltix Premium Safety Glasses 25mm,Safety,38.04,125
BrightBuild Galvanized Nails Pack,Consumables,24.36,341
ToolMight Multi-Purpose Anchor,Fasteners,8.4,133
Voltix Quick-Fit Ear Protection,Safety,67.79,168
AquaFlow Compact Switch,Electrical,60.68,14
BrightBuild Stainless Cabinet Knob,Hardware,65.25,69
ToolMight Eco Cabinet Knob,Hardware,82.43,19
ProFix Multi-Purpose Silicone Sealant (ml),Paint & Adhesives,44.27,60
AquaFlow Multi-Purpose Pliers,Tools,64.09,33
MasterCraft Premium Sprayer,Garden,73.88,58
BrightBuild Galvanized Sprayer 1/4inch,Garden,48.3,22
ToolMight Eco Cable Clips Pack 10mm,Consumables,14.08,411
HardPro Galvanized Silicone Sealant (ml),Paint & Adhesives,49.37,23
ProFix Stainless Zip Ties Pack,Consumables,2.26,341
MasterCraft Precision Switch,Electrical,61.12,57
SureGrip Industrial Safety Glasses 16mm,Safety,45.87,29
SecureHold Heavy-Duty Chisel 32mm,Tools,66.83,49
ToolMight Stainless Ball Valve 12mm,Plumbing,3.96,37
MasterCraft Compact Screw,Fasteners,12.13,91
Voltix Premium Pruning Shears 300mm,Garden,141.96,33
Voltix Stainless Lockset,Hardware,34.86,51
AquaFlow Heavy-Duty Interior Paint (L),Paint & Adhesives,19.63,11
BrightBuild Stainless Work Gloves,Safety,48.54,26
IronWorks Industrial Door Handle,Hardware,56.8,65
SureGrip Eco Zip Ties Pack 1/2inch,Consumables,25.32,367
SecureHold Compact Hinge,Hardware,32.93,9
MasterCraft Multi-Purpose Circular Saw 1/4inch,Power Tools,111.78,20
AquaFlow Quick-Fit Ear Protection,Safety,51.23,103
Voltix Heavy-Duty Cabinet Knob,Hardware,17.35,26
AquaFlow Industrial Screw,Fasteners,16.33,75
BrightBuild Eco Tap Washer,Plumbing,85.79,43
SureGrip Premium Sandpaper Pack,Consumables,12.86,359
BrightBuild Premium Sprayer,Garden,36.01,32
AquaFlow Precision Epoxy (ml),Paint & Adhesives,37.59,11
SureGrip Compact Hose Connector,Plumbing,14.07,9
SecureHold Compact Ball Valve 25mm,Plumbing,112.88,57
MasterCraft Multi-Purpose Door Handle 300mm,Hardware,87.74,47
SureGrip Premium Cable Clips Pack 12mm,Consumables,12.97,162
BrightBuild Eco LED Bulb,Electrical,75.58,91
MasterCraft Quick-Fit Door Handle,Hardware,11.23,85
SureGrip Heavy-Duty Cabinet Knob,Hardware,59.98,50
Voltix Quick-Fit Angle Grinder,Power Tools,165.57,18
Voltix Multi-Purpose Socket Outlet,Electrical,18.64,83
ProFix Heavy-Duty Tap Washer,Plumbing,20.11,77
ProFix Quick-Fit Tape Measure,Tools,106.71,18
IronWorks Compact Nails Pack,Consumables,0.69,185
IronWorks Multi-Purpose Circular Saw,Power Tools,488.17,3
ToolMight Quick-Fit Anchor,Fasteners,13.13,185
SecureHold Compact Drill 16mm,Power Tools,136.04,7
HardPro Stainless Lockset 16mm,Hardware,11.84,63
MasterCraft Stainless Work Gloves 20mm,Safety,40.7,116
IronWorks Eco Screwdriver Set,Tools,98.33,34
Voltix Heavy-Duty Wood Glue (ml),Paint & Adhesives,52.38,44
MasterCraft Quick-Fit Anchor,Fasteners,7.4,80
HardPro Multi-Purpose Wood Glue (ml),Paint & Adhesives,21.43,57
Voltix Stainless Lockset,Hardware,58.65,15
ToolMight Stainless Safety Glasses,Safety,38.26,74
ToolMight Precision Hinge,Hardware,6.52,62
ToolMight Industrial Nails Pack 12mm,Consumables,22.41,401
HardPro Compact Zip Ties Pack,Consumables,1.26,94
SureGrip Quick-Fit Ball Valve 1/2inch,Plumbing,81.2,55
BrightBuild Heavy-Duty Screw,Fasteners,12.53,174
ProFix Quick-Fit Pipe (m),Plumbing,69.33,41
HardPro Industrial Teflon Tape 20mm,Plumbing,101.82,51
SecureHold Precision Safety Glasses 12mm,Safety,16.85,76
SecureHold Stainless Hinge,Hardware,96.76,70
MasterCraft Heavy-Duty Cable Clips Pack,Consumables,4.17,125
SecureHold Compact Lockset,Hardware,13.91,65
ToolMight Quick-Fit Door Handle 32mm,Hardware,52.82,71
ProFix Eco Door Handle,Hardware,54.03,78
AquaFlow Compact Washer,Fasteners,11.13,102
Voltix Precision Sprayer,Garden,121.28,21
MasterCraft Quick-Fit Tap Washer 32mm,Plumbing,63.45,52
AquaFlow Industrial Interior Paint (L),Paint & Adhesives,58.37,32
ToolMight Compact Door Handle,Hardware,25.0,21
IronWorks Eco Work Gloves,Safety,36.79,51
AquaFlow Stainless Wire (m),Electrical,75.12,87
MasterCraft Galvanized Angle Grinder,Power Tools,418.64,11
SecureHold Eco Pipe (m),Plumbing,44.67,22
HardPro Eco Sprayer 32mm,Garden,50.04,13
Voltix Compact Anchor,Fasteners,11.6,186
ProFix Compact Switch 300mm,Electrical,49.37,42
MasterCraft Galvanized Adjustable Wrench 16mm,Tools,15.46,31
ToolMight Multi-Purpose Hinge 20mm,Hardware,10.96,34
ToolMight Quick-Fit Anchor,Fasteners,5.47,112
SureGrip Quick-Fit Sprayer 1/2inch,Garden,105.77,16
AquaFlow Compact Sandpaper Pack 250mm,Consumables,24.18,369
ToolMight Eco Cabinet Knob 32mm,Hardware,51.97,67
AquaFlow Galvanized Drill,Power Tools,338.81,5
BrightBuild Premium Ear Protection 10mm,Safety,12.88,136
IronWorks Heavy-Duty Nails Pack,Consumables,5.49,401
SecureHold Compact Pliers,Tools,38.87,48
BrightBuild Multi-Purpose Washer 250mm,Fasteners,6.47,196
IronWorks Multi-Purpose Screw,Fasteners,3.27,171
BrightBuild Heavy-Duty Hose Connector,Plumbing,52.57,13
ProFix Eco Extension Lead 1/4inch,Electrical,38.64,59
SureGrip Precision Work Gloves 10mm,Safety,12.94,117
Voltix Eco Safety Glasses 10mm,Safety,47.99,104
AquaFlow Precision Bolt 250mm,Fasteners,14.8,169
BrightBuild Precision Zip Ties Pack,Consumables,15.3,396
SureGrip Premium Lockset 10mm,Hardware,15.36,27
ToolMight Stainless Hose Connector,Plumbing,23.91,63
BrightBuild Industrial Ball Valve,Plumbing,82.24,59
ProFix Precision Tap Washer 250mm,Plumbing,71.3,13
AquaFlow Multi-Purpose LED Bulb,Electrical,18.86,93
IronWorks Premium Bolt,Fasteners,4.33,108
ProFix Eco Zip Ties Pack,Consumables,3.2,282
MasterCraft Compact Garden Fork 12mm,Garden,24.74,57
ToolMight Heavy-Duty Hose Reel 32mm,Garden,21.36,50
HardPro Premium Tap Washer,Plumbing,40.82,8
SecureHold Precision Door Handle 10mm,Hardware,64.56,9
